"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","symbol","entrez","log2FoldChange_raw","symbol_for_plot"
"ENSG00000100336.17",5892.18688580619,8.79007998817571,0.225546061763146,39.0226226453042,0,0,"ENSG00000100336","APOL4","80832",8.80139885731771,"APOL4"
"ENSG00000125347.13",24203.7565271632,5.60024626572761,0.132826453895716,42.2075195543818,0,0,"ENSG00000125347","IRF1","3659",5.60627515014263,"IRF1"
"ENSG00000164691.17",6190.55992040691,3.29240247493194,0.0851009357713877,38.7543770702739,0,0,"ENSG00000164691","TAGAP","117289",3.29803375391752,"TAGAP"
"ENSG00000188906.15",22994.7865170412,4.61555715880223,0.108213188219234,42.7315210094683,0,0,"ENSG00000188906","LRRK2","120892",4.62411412589176,"LRRK2"
"ENSG00000167207.13",1911.52341364043,3.38900912260303,0.0915976035020061,37.0601799492849,1.23121041551915e-300,4.37621430092126e-297,"ENSG00000167207","NOD2","64127",3.3946236687076,"NOD2"
"ENSG00000137496.17",8894.7914643561,3.88701096317254,0.117076364435505,33.2784792405076,7.90886360118648e-243,2.34260539867144e-239,"ENSG00000137496","IL18BP","10068",3.89612336342107,"IL18BP"
"ENSG00000188820.12",10720.8812705621,6.00636693246938,0.189554087663906,31.7502047513489,3.1546407023718e-221,8.00918208036453e-218,"ENSG00000188820","CALHM6","441168",6.01838109478416,"CALHM6"
"ENSG00000113555.5",1328.42752280124,-6.05104689524622,0.221240900834592,-27.4213008797899,1.52841673145492e-165,3.3953777689271e-162,"ENSG00000113555","PCDH12","51294",-6.06671330870112,"PCDH12"
"ENSG00000162645.12",22936.4299232357,6.67986877365405,0.245524330970036,27.2804237787124,7.24197932302875e-164,1.43004951698741e-160,"ENSG00000162645","GBP2","2634",6.69800779684741,"GBP2"
"ENSG00000140105.17",102020.26418486,6.00681599994551,0.227417066985955,26.487423022195,1.35314764775369e-154,2.40481399958786e-151,"ENSG00000140105","WARS1","7453",6.02369205572385,"WARS1"
"ENSG00000205220.11",4941.28160623203,2.16877674452505,0.0844424046307502,25.7800305979482,1.4851922140451e-146,2.39953054800086e-143,"ENSG00000205220","PSMB10","5699",2.17692777514506,"PSMB10"
"ENSG00000204257.14",2439.91948926819,4.06576633798082,0.159095136493955,25.6425130322197,5.1245519872193e-145,7.58946149307178e-142,"ENSG00000204257","HLA-DMA","3108",4.07959911090902,"HLA-DMA"
"ENSG00000170989.9",859.335251470645,-5.38711602161553,0.216294506532704,-24.9759439738075,1.11624220102439e-137,1.52598895358503e-134,"ENSG00000170989","S1PR1","1901",-5.40215947700317,"S1PR1"
"ENSG00000174944.8",2824.9838505157,9.63520784932597,0.390257914389777,24.7748783854039,1.67270804666094e-135,2.12338338608987e-132,"ENSG00000174944","P2RY14","9934",9.66859236794811,"P2RY14"
"ENSG00000225492.6",862.900362868355,5.84906999579501,0.237350752948298,24.7229036288284,6.06694247027795e-135,7.18811343878531e-132,"ENSG00000225492",NA,NA,5.86799979137065,"ENSG00000225492"
"ENSG00000242574.8",3561.21175936628,3.78332061020775,0.157064194185908,24.1656805515023,5.10892392469233e-129,5.674737249352e-126,"ENSG00000242574","HLA-DMB","3109",3.79556314277577,"HLA-DMB"
"ENSG00000100342.20",6108.2366806192,7.2004653375919,0.303892703978173,23.7845164176243,4.8304512828604e-125,5.04981059994088e-122,"ENSG00000100342","APOL1","8542",7.22794100696509,"APOL1"
"ENSG00000168899.4",1065.65801289827,4.77152342989021,0.201856930968052,23.7177644979584,2.36455447242329e-124,2.33460344910593e-121,"ENSG00000168899","VAMP5","10791",4.78759515098091,"VAMP5"
"ENSG00000145365.10",7181.49259264664,5.07226494437014,0.214802621854365,23.7074755615273,3.01922335787402e-124,2.82408618505985e-121,"ENSG00000145365","TIFA","92610",5.09242790816435,"TIFA"
"ENSG00000231389.7",4607.55691801594,5.77222854168719,0.245561045842969,23.5799438459198,6.19109632149225e-123,5.50140819127801e-120,"ENSG00000231389","HLA-DPA1","3113",5.79031567172254,"HLA-DPA1"
"ENSG00000092068.19",7484.0184417632,-2.19568614211167,0.0937704998097491,-23.4899936997973,5.16192346989511e-122,4.36846209080838e-119,"ENSG00000092068","SLC7A8","23428",-2.20266844975785,"SLC7A8"
"ENSG00000077063.10",1449.28894866127,-1.95879141378394,0.0839871408391934,-23.3924783302672,5.09749869775571e-121,4.11785212984157e-118,"ENSG00000077063","CTTNBP2","83992",-1.96466737210193,"CTTNBP2"
"ENSG00000170873.18",3524.18297822555,-2.94907915359456,0.132147090637722,-22.4057020612184,3.46292605458555e-111,2.67578790617802e-108,"ENSG00000170873","MTSS1","9788",-2.96084834108562,"MTSS1"
"ENSG00000111181.12",1073.71442553089,5.0613527019369,0.226982173861531,22.3867662407593,5.29650481553082e-111,3.92206181590057e-108,"ENSG00000111181","SLC6A12","6539",5.08139686705747,"SLC6A12"
"ENSG00000124785.8",1278.94333350009,3.26341273010011,0.15033416047774,21.8100271951529,1.8636540960338e-105,1.32483442378851e-102,"ENSG00000124785","NRN1","51299",3.27879212837998,"NRN1"
"ENSG00000008517.16",1210.1835510331,4.56836556242895,0.211102365141624,21.7376815396424,9.03487076890884e-105,6.17568166557877e-102,"ENSG00000008517","IL32","9235",4.58887598571394,"IL32"
"ENSG00000128284.19",16389.42106126,8.27933149818433,0.38637314426205,21.5336897450932,7.52937826437996e-103,4.95600409313188e-100,"ENSG00000128284","APOL3","80833",8.32003941437512,"APOL3"
"ENSG00000183734.4",1386.22907499791,4.2786785436734,0.200106300851037,21.526804528165,8.73529155042357e-103,5.54441433693313e-100,"ENSG00000183734","ASCL2","430",4.30764922327446,"ASCL2"
"ENSG00000257093.6",2501.27654026153,-2.06835353656088,0.0974392164701469,-21.3165910660639,7.96535305392444e-101,4.88138808532224e-98,"ENSG00000257093","DENND11","57189",-2.0770719312918,"DENND11"
"ENSG00000163568.14",703.920331699561,7.94353987347897,0.374569809803607,21.3011802998984,1.10696549907776e-100,6.55766361653665e-98,"ENSG00000163568","AIM2","9447",7.97877905352528,"AIM2"
"ENSG00000138755.5",232841.858437258,10.7876781115309,0.509474775998816,21.280091428911,1.73603566526971e-100,9.95252446553977e-98,"ENSG00000138755","CXCL9","4283",10.8416698139787,"CXCL9"
"ENSG00000136436.14",6667.19241895183,2.77974070631072,0.131171006838109,21.2702068646315,2.14333347431536e-100,1.19035382829789e-97,"ENSG00000136436","CALCOCO2","10241",2.79003445008857,"CALCOCO2"
"ENSG00000123146.19",4993.26122540458,3.28327330772619,0.156065009235053,21.1215400193407,5.04240907147745e-99,2.71556648540295e-96,"ENSG00000123146","ADGRE5","976",3.29633333817694,"ADGRE5"
"ENSG00000138134.11",1664.03042595325,3.00718095003513,0.143205703483225,21.0880344479602,1.02429784892221e-98,5.35406510913105e-96,"ENSG00000138134","STAMBPL1","57559",3.01992680819862,"STAMBPL1"
"ENSG00000198736.11",3027.75368407864,2.66379644839766,0.127409728488108,20.9908518291631,7.95081129263854e-98,4.03719480836492e-95,"ENSG00000198736","MSRB1","51734",2.67443873228778,"MSRB1"
"ENSG00000099250.17",45787.2698860234,-1.91170287192945,0.0927923082318721,-20.6829269486302,4.93536287374998e-95,2.43642413867457e-92,"ENSG00000099250","NRP1","8829",-1.91921653255458,"NRP1"
"ENSG00000041357.15",5386.49946669096,1.32196908584577,0.0641893137439706,20.6704207361505,6.39563116459072e-95,3.07197721775963e-92,"ENSG00000041357","PSMA4","5685",1.32682012185264,"PSMA4"
"ENSG00000235750.9",811.873111996972,5.18495540158748,0.253587227064559,20.5495510076949,7.76782942450841e-94,3.6328911719043e-91,"ENSG00000235750","KIAA0040","9674",5.21110365746306,"KIAA0040"
